Attribute,Value
MeanAmplitude,0.3942753152114309
StdAmplitude,0.11986192113117661
MeanSpeed,1.6112593402553996
StdSpeed,0.5222502006816101
MeanRMSVelocity,4.186782069418613
StdRMSVelocity,1.219690207322043
MeanOpeningSpeed,3.5960014750802576
stdOpeningSpeed,0.8748291257838364
meanClosingSpeed,3.0017643673555536
stdClosingSpeed,1.2750699184524839
meanCycleDuration,0.25
stdCycleDuration,0.0481125224324688
rangeCycleDuration,1.3833333333333333
rate,1.506276150627615
amplitudeDecay,1.7744133641747526
velocityDecay,1.5620149993286676
rateDecay,0.42675159235668786
cvAmplitude,0.3040056440431743
cvCycleDuration,0.1924500897298752
cvSpeed,0.3241254760384064
cvRMSVelocity,0.2913192487927637
cvOpeningSpeed,0.24327830003582285
cvClosingSpeed,0.4247734873259804
