Attribute,Value
MeanAmplitude,0.04288747541905947
StdAmplitude,0.035951742270586
MeanSpeed,0.18123985266408196
StdSpeed,0.12988716672543224
MeanRMSVelocity,0.4893071670555311
StdRMSVelocity,0.39839931046251786
MeanOpeningSpeed,0.37282969310370906
stdOpeningSpeed,0.2580259307133833
meanClosingSpeed,0.36657715978639155
stdClosingSpeed,0.26417316813955216
meanCycleDuration,0.23205128205128206
stdCycleDuration,0.03666756319506434
rangeCycleDuration,1.6
rate,2.671232876712329
amplitudeDecay,0.6397258929551424
velocityDecay,0.6952967703719213
rateDecay,1.581137309292649
cvAmplitude,0.8382806849621374
cvCycleDuration,0.15801491321629935
cvSpeed,0.7166589732677112
cvRMSVelocity,0.8142110667618809
cvOpeningSpeed,0.692074519508855
cvClosingSpeed,0.7206481939395479
