Attribute,Value
MeanAmplitude,0.02166234394675931
StdAmplitude,0.011590146567589629
MeanSpeed,0.062173726453124835
StdSpeed,0.04265385736033616
MeanRMSVelocity,0.16980112673926784
StdRMSVelocity,0.10466777115616434
MeanOpeningSpeed,0.11019831157966958
stdOpeningSpeed,0.06648018832995975
meanClosingSpeed,0.1687519690661139
stdClosingSpeed,0.14501865406201028
meanCycleDuration,0.5111111111111111
stdCycleDuration,0.48863629838435596
rangeCycleDuration,3.150000000000001
rate,1.3533834586466165
amplitudeDecay,1.6220487071547103
velocityDecay,1.975036686306221
rateDecay,2.4836601307189543
cvAmplitude,0.5350365868105199
cvCycleDuration,0.9560275403172183
cvSpeed,0.6860431213254452
cvRMSVelocity,0.6164138787894102
cvOpeningSpeed,0.603277739712889
cvClosingSpeed,0.8593597743751047
